state,city,name,avg_score,price,reviews_url
Hawaii,Honolulu,Waikiki Malia,81,344.217,https://www.booking.com/hotel/us/ohana-waikiki-malia.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960559&all_sr_blocks=50642542_100313747_2_0_0&highlighted_blocks=50642542_100313747_2_0_0&matching_block_id=50642542_100313747_2_0_0&sr_pri_blocks=50642542_100313747_2_0_0__94676&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Castle Waikiki Grand Hotel,71,277.479,https://www.booking.com/hotel/us/waikiki-grand.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960559&all_sr_blocks=5678902_352234536_2_0_0&highlighted_blocks=5678902_352234536_2_0_0&matching_block_id=5678902_352234536_2_0_0&sr_pri_blocks=5678902_352234536_2_0_0__76320&from=searchresults#hotelTmpl
Hawaii,Honolulu,Ramada Plaza by Wyndham Waikiki,79,315.269,https://www.booking.com/hotel/us/ramada-plaza-waikiki.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960559&all_sr_blocks=34369916_105207290_2_0_0&highlighted_blocks=34369916_105207290_2_0_0&matching_block_id=34369916_105207290_2_0_0&sr_pri_blocks=34369916_105207290_2_0_0__86714&from=searchresults#hotelTmpl
Hawaii,Honolulu,Sheraton Waikiki Beach Resort,86,869.632,https://www.booking.com/hotel/us/sheraton-waikiki.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960559&all_sr_blocks=18067236_246422414_2_0_0&highlighted_blocks=18067236_246422414_2_0_0&matching_block_id=18067236_246422414_2_0_0&sr_pri_blocks=18067236_246422414_2_0_0__239190&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Waikiki Resort Hotel,81,356.197,https://www.booking.com/hotel/us/waikiki-resort.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=5691402_384385559_2_1_0&highlighted_blocks=5691402_384385559_2_1_0&matching_block_id=5691402_384385559_2_1_0&sr_pri_blocks=5691402_384385559_2_1_0__97971&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,'Alohilani Resort Waikiki Beach,80,556.268,https://www.booking.com/hotel/us/alohilani-resort.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=5849707_88762892_2_2_0&highlighted_blocks=5849707_88762892_2_2_0&matching_block_id=5849707_88762892_2_2_0&sr_pri_blocks=5849707_88762892_2_2_0__153000&nad_id=efd08081-e1da-4d65-b246-2c5572e2f6fd_5&nad_cpc=0.73&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZpZG1FQnREOEI3NS9nY1hYM1pBMW1Qc1R4b2dSdUpVNUswZXFMditMMnhjSjhRaWszNHJQWU9yU0pJMGxMZ2Roc1lZR0dSanpLM0pKU0RnN1BmWXl1eTE5SEYrSDZLMzFzM0JJcTJmYWNZTTIyTjhIcE9qZDU3NXJVM1Bid3M1Q2dYMmpoM0hJekRJQWo2NDErL0U0Sm0rVFpseUZ0ZUxNSzduUDlPOXVIT1ROOWVkcnRoWlkyZmNhWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZYOC81S2ZiMFJOTVlLNWtwWHlwaUNkSnNOdjE0eGdxSnFNLy9UTjU1RVRvaG93SkR3R25SQy9xSXNQQTV2Y1RJM05za0VvU1NyaERHdE9VZXZsQ3kwWUZLQ092NFdjdGVNRFIvVFlwUlJ2N0JkdVpkWkVmUjY3QVZKQkN0MlpveEw5RTRQVXplQVJEbTJSeG9sQWhBeElQSTlMeDdIWVM3UDhma2g5VTkyWWhWV01Kd2pzR1A5ZXB0YUUycUJQbm9obHV6alRYMytYUUV1QXRMd08waFd4T2p6Ym1FaGJuNUlsOEJzY0FGenFJdFJJaENZS1psMXgxVy8xT0dVUUZRMFRKU256SmwzdXFsSUgyM3ZzMTA0QUExcFBhTTUrTjRiRW9lMmg2ZTVuWlh1eXZsWnJUNDMvREJUcUlmbDcxWFpSMnA1U2Zta1lOKzIvL1d6V1V2UnZ2Rm1lS3lpZzJjNlR4c3R0cGJ5U0RteURQQ2s1V2FQVFB1OTczSmk1T3krRW5jYzRSNHlzQzkzN3lHMTFzcE1kVFF5Z0JnYk9mcjI0QzM4eE5BNU1aMHJYck1odFk3WDlFZW5JMjFNYllPSWN3ZzYzczR3VlBIY2FEZE9xUTk1TElISEFNeGJaQjhjbDAzMWJFelZ5Ty9zSnFIdU5KL21DMjliNjFyQnZvMWkwai81alpUUFhBMERyeE9hVDNLTC9XektqeW91U1pvMm5XTksrbUhpT2VBcUJwbDUyVjFTajFhTm1kNDlxYTIyYU1nMGYzMXpZZUx4RDZMYmhXREVnYnRtZlp4NlVlc1hPSFJoTHVUV3VoVDh0TkNHaTdndW1ad2c3YzJYZnVSVWJ6cW9vSEk4QTVCODZoVnNmeXFQbk8wYzY0WTg4UDJqNnRPdTZIRkFsMmVoeWVRVFcyYXBReHo2NWo4VWJmQ2lmQTRScjJ2WUh2cTcxNzRrZlJZT3pDUGgxZ0E1ZmhiVzR1anlKQldKM1NRR0c2U082MDlXeVVWOGFQMkp1SVJGVytGU3RCb3hnVnpXYWNrY29xTHQ0V1Y4TWFpWTNyelRjQnByZlVkL2RwRlEvamNQcERFN3hrWk9xWkpDRW8wTmZON1V2VGxaaXFuMGF0aVhlaUJmSm5Yci9qVko5SldrZlJCTUVqSk5FSzRReFplclJ4b1VQTDU0ODhrbEhxM2lyK0k1czlaa3ZjcEQ2V3hFclpzNjBzNHU3cjRrZXBUR2xVTG9ZbU5CbjM3OHlUZ2l3TUNzdGV0RGJUa0VJN2crNFVhZ1RWbmhmV2ZGcUlReFRnNVFKQ2g3aWllVTBvTFF4UE9Yd296R0svaS8weHRXVG5yY0hpMU1LQjc0bEJOaEV3eTl6V3VKRWV6UXZmYldxbGY2MTJQMWJUUlBFWVQyYkNaUUNkSXlUbm5CZFh5U0djNDJobXVxdTJYSWVyd1JCbkE1WVZZb3gzSnZMZEhXL293dmw1RkdpKzZyakNkbXhCdzA2NW5iYS9yTmlPdnczbm1mbkpMcWtET0U2K0swYlpQRnYrRG14QVhITWtlcTlWQjNUWlJkQ0ZkNVN3bmJYMUN5Q0ltYWNsZ1p4dlVJdTB5VnVyVTBHcy90VzhPUU90ZDhScjBOSFJzdGMrNit6cHk1dys1dmhxeEhtenRiUERRUUo5MUFMcWhiZXhjbzJBNEdad2ovQ0ZiWG8yZmJlWEhhNUNOaW5XclNFcklDZjB1WVM4MmZFdWkxMzk2REJaZC82NjBSSTRUYWxGbTYwSmhvTWp4RFNMRTl0M0pJSVErWHZ3ODQ2eW5hdzNTMUVSc25rd21SeDBITEcxcnEvMlk1cW1hV1BuQmlIeC9iL24vRDFhOCtINjRyRlAyUkhGRlJjRlNRQXo4eDgyaERVMTFjNTlhclEzKzVSRnhjck9FYUgrWlNqUjczbVZPR044RFVScnMvUnYyU2RFeFNYeTFqVTUxajVmZVBoakxXOHJNdjAydXNud0RzbUVQTVdxdXdvcUJmM1pMSCtVT1hkTmNseTRldVdMUmdDWGV3RnMzUDhpUEM0eHdSZ1RlQUN3MER1Vlk5d3Z6b1lzck9RWWJ6WUp5Y041L0s1MU8yNTZaVTJSektPcXp5WEtXN0JJYVVUWFAwRTV0cUVmazMycDdKSEtpbTBvd3I1NzlaUW9ELzJCRnpEYis1ZWtGWUdodURjUG1IVE5wYVZpMGxJaUtWUUVQZHBvZUJoekl0ZWh1diszZjBkTzZTaG1tWWJDN1V4ZU9VeDl4Wjd5WlBNVUZDSm9hSEEwSzFOdU5lMVNyVEovT1EzYkE0em5NSWdmTEcrRjN1bjNTeTVNejZYMFp2R0xYT0tvVkJXZWtQOXExWTFoZWpVY2NOZ3AzRUw5d3JzZDh0R2w5S1VGKytWMklIZXQ5dXl6UVFtSk9FeTVJb3FTd3NKUVFpemJlSVFmUWZmd1RuQ2VVOFdtRXFjN05LMjlzdUV2ZVVKcXF3R1Bjellsa282bGRhaVRTam5uWmI0OGxEQkNwbmd3SmVZNGV1dTdreUU5eThMOFNMYkIwclEvY1dTQ2dmTjBBdkJ1a3hTc0ZYT3hpZTRmUkovUTlmb1NOalI2c2gzUHhsVXJlNXhFMUQzTUNLZ3JKTjlDUmFpN05TVjI2RUhkYXZsaVVZVzJCd1R3VG5nTXY2V1F4dlgzVlFDUVZ1dXIrbFluR0dleEorejlSQWVIMDRubFNmTU5oRDVGMGRIYXc4clJISEpiRVNsTUcxWVVtdEZobzBnM1JPWXBlV29BbDF6L2xZREFVSXo5b3BWc3dVUERQVUxaQXhnTk5MOGN4UDJvUmJOOWNqWHA3OW1Fbmh1V1Z5M0IrZXFmMU9aRTlvVURndVlZODdIek5BOHZ0d3k1N2paQ09PZ3l6ZG5Jc2M5WlNPaVN3anVlbTRxUDFtcndLU0RTd1hSeC9nbFRWeUI5TFpUeTFtME5BK2YyMU11WHB5bmtmWHQ1dGZXQWFRWUFwUDlMUnZGM2M4aFFhT1dpMkhUb1g2TExURkZ5aCtkK0phZDBnSnFJb0ZWT1FkZSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Castle Bamboo Waikiki Hotel,72,281.144,https://www.booking.com/hotel/us/castle-bamboo-waikiki-hotel.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=7671712_352234553_0_0_0&highlighted_blocks=7671712_352234553_0_0_0&matching_block_id=7671712_352234553_0_0_0&sr_pri_blocks=7671712_352234553_0_0_0__77328&from=searchresults#hotelTmpl
Hawaii,Honolulu,Hilton Hawaiian Village Waikiki Beach Resort,78,632.185,https://www.booking.com/hotel/us/hilton-hawaiian-village.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=2888748_368568568_2_2_0&highlighted_blocks=2888748_368568568_2_2_0&matching_block_id=2888748_368568568_2_2_0&sr_pri_blocks=2888748_368568568_2_2_0__173881&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Ohia Waikiki Studio Suites,65,317.763,https://www.booking.com/hotel/us/ohia-waikiki.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=140738002_279881951_2_0_0&highlighted_blocks=140738002_279881951_2_0_0&matching_block_id=140738002_279881951_2_0_0&sr_pri_blocks=140738002_279881951_2_0_0__87400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Marvelous Mountain View Studio condo,97,245.325,https://www.booking.com/hotel/us/marvelous-mountain-view-studio-condo.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=915085302_362949766_2_0_0&highlighted_blocks=915085302_362949766_2_0_0&matching_block_id=915085302_362949766_2_0_0&sr_pri_blocks=915085302_362949766_2_0_0__67476&from=searchresults#hotelTmpl
Hawaii,Honolulu,The Beach Waikiki Boutique Hostel,86,237.559,https://www.booking.com/hotel/us/the-beach-waikiki-boutique-hostel.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=610883006_335342441_2_0_0&highlighted_blocks=610883006_335342441_2_0_0&matching_block_id=610883006_335342441_2_0_0&sr_pri_blocks=610883006_335342441_2_0_0__65340&from=searchresults#hotelTmpl
Hawaii,Honolulu,The Twin Fin Hotel,80,440.106,https://www.booking.com/hotel/us/aston-waikiki-beach.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=30236218_91471647_2_0_0&highlighted_blocks=30236218_91471647_2_0_0&matching_block_id=30236218_91471647_2_0_0&sr_pri_blocks=30236218_91471647_2_0_0__121050&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach",85,724.457,https://www.booking.com/hotel/us/moana-surfrider-a-westin-resort-spa.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=18067729_94110656_2_0_0&highlighted_blocks=18067729_94110656_2_0_0&matching_block_id=18067729_94110656_2_0_0&sr_pri_blocks=18067729_94110656_2_0_0__199260&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Ala Moana Hotel - Resort Fee Included,79,554.086,https://www.booking.com/hotel/us/ala-moana.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=50719963_377461550_2_2_0&highlighted_blocks=50719963_377461550_2_2_0&matching_block_id=50719963_377461550_2_2_0&sr_pri_blocks=50719963_377461550_2_2_0__152400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Seashore Waikiki studio 1 block from a beach No Resort Fees,90,296.545,https://www.booking.com/hotel/us/seashore-waikiki-studio-1-block-from-a-beach-no-resort-fees.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=1082136101_380802294_2_0_0&highlighted_blocks=1082136101_380802294_2_0_0&matching_block_id=1082136101_380802294_2_0_0&sr_pri_blocks=1082136101_380802294_2_0_0__81564&from=searchresults#hotelTmpl
Hawaii,Honolulu,Hyatt Regency Waikiki Beach Resort & Spa,83,621.711,https://www.booking.com/hotel/us/hyatt-regency-waikiki-beach-resort-spa.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=af6b6831a1d1005e&srepoch=1701960560&all_sr_blocks=52292128_278417216_2_2_0&highlighted_blocks=52292128_278417216_2_2_0&matching_block_id=52292128_278417216_2_2_0&sr_pri_blocks=52292128_278417216_2_2_0__171000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Holiday Surf Hotel (with full kitchen),80,226.263,https://www.booking.com/hotel/us/holiday-surf.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=f295683cfd01021a&srepoch=1701960578&all_sr_blocks=5850106_208841228_2_0_0&highlighted_blocks=5850106_208841228_2_0_0&matching_block_id=5850106_208841228_2_0_0&sr_pri_blocks=5850106_208841228_2_0_0__62233&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,OUTRIGGER Waikiki Beach Resort,87,654.033,https://www.booking.com/hotel/us/outrigger-waikiki-beach-resort.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=f295683cfd01021a&srepoch=1701960578&all_sr_blocks=50567779_91475338_2_42_0&highlighted_blocks=50567779_91475338_2_42_0&matching_block_id=50567779_91475338_2_42_0&sr_pri_blocks=50567779_91475338_2_42_0__179890&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Hilton Grand Vacations Club at Hilton Hawaiian Village,86,848.581,https://www.booking.com/hotel/us/hilton-grand-vacations-club.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=f295683cfd01021a&srepoch=1701960578&all_sr_blocks=2888104_274558445_4_2_0&highlighted_blocks=2888104_274558445_4_2_0&matching_block_id=2888104_274558445_4_2_0&sr_pri_blocks=2888104_274558445_4_2_0__233400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Hilton Grand Vacations Club Grand Waikikian Honolulu,88,761.323,https://www.booking.com/hotel/us/grand-waikikian-by-hilton-grand-vacations-club.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=f295683cfd01021a&srepoch=1701960578&all_sr_blocks=18804207_274560177_2_2_0&highlighted_blocks=18804207_274560177_2_2_0&matching_block_id=18804207_274560177_2_2_0&sr_pri_blocks=18804207_274560177_2_2_0__209400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Royal Hawaiian Hospitality,78,305.402,https://www.booking.com/hotel/us/royal-kuhio-waikiki-1211.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=f295683cfd01021a&srepoch=1701960578&all_sr_blocks=133319426_259401401_2_0_0&highlighted_blocks=133319426_259401401_2_0_0&matching_block_id=133319426_259401401_2_0_0&sr_pri_blocks=133319426_259401401_2_0_0__84000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
